"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2018","145.28","144.81","145.56","144.38","288.23K","0.39%"
"Jul 18, 2018","144.72","145.06","145.34","144.56","186.71K","-0.21%"
"Jul 17, 2018","145.03","145.19","145.38","144.88","168.26K","-0.06%"
"Jul 16, 2018","145.12","145.72","145.75","144.72","243.22K","-0.39%"
"Jul 13, 2018","145.69","145.41","145.78","145.22","168.39K","0.28%"
"Jul 12, 2018","145.28","145.34","145.44","145.00","209.48K","-0.13%"
"Jul 11, 2018","145.47","145.34","145.75","145.09","266.22K","0.32%"
"Jul 10, 2018","145.00","145.16","145.31","144.94","201.50K","-0.08%"
"Jul 09, 2018","145.12","145.84","145.88","145.09","163.30K","-0.37%"
"Jul 06, 2018","145.66","145.62","146.34","145.38","210.53K","0.11%"
"Jul 05, 2018","145.50","145.41","145.78","144.84","235.43K","0.15%"
"Jul 04, 2018","145.28","145.41","145.44","145.16","-","-0.04%"
"Jul 03, 2018","145.34","144.72","145.47","144.50","199.89K","0.41%"
"Jul 02, 2018","144.75","144.84","145.41","144.66","191.54K","-0.17%"
"Jun 29, 2018","145.00","145.19","145.50","144.69","336.08K","0.02%"
"Jun 28, 2018","144.97","145.25","145.34","144.91","236.36K","-0.21%"
"Jun 27, 2018","145.28","144.25","145.34","144.16","347.14K","0.71%"
"Jun 26, 2018","144.25","144.28","144.53","143.94","226.79K","-0.06%"
"Jun 25, 2018","144.34","144.00","144.56","143.97","234.10K","0.26%"
"Jun 22, 2018","143.97","143.91","144.09","143.41","193.54K","0.00%"
"Jun 21, 2018","143.97","143.19","144.12","143.03","289.87K","-0.37%"
"Jun 20, 2018","144.50","144.94","144.94","144.78","0.35K","-0.30%"
"Jun 19, 2018","144.94","144.62","145.56","144.62","3.16K","0.37%"
"Jun 18, 2018","144.41","144.69","144.94","144.34","1.67K","-0.06%"
"Jun 15, 2018","144.50","144.28","145.03","144.19","2.86K","0.26%"
"Jun 14, 2018","144.12","143.94","144.38","143.75","1.28K","0.47%"
"Jun 13, 2018","143.44","143.72","143.91","142.94","5.41K","-0.22%"
"Jun 12, 2018","143.75","143.66","143.84","143.22","1.78K","0.06%"
"Jun 11, 2018","143.66","143.94","143.94","143.44","1.46K","-0.26%"
"Jun 08, 2018","144.03","144.22","144.78","143.88","4.57K","-0.06%"
"Jun 07, 2018","144.12","143.25","144.78","142.91","3.61K","0.61%"
"Jun 06, 2018","143.25","144.12","144.19","143.12","10.44K","-0.73%"
"Jun 05, 2018","144.31","144.03","144.72","144.03","11.55K","0.13%"
"Jun 04, 2018","144.12","144.69","144.81","143.91","26.18K","-0.48%"
"Jun 01, 2018","144.81","145.34","145.47","144.28","27.81K","-0.82%"
"May 31, 2018","146.00","145.19","146.03","144.81","65.41K","0.39%"
"May 30, 2018","145.44","146.44","146.72","144.53","444.28K","-0.55%"
"May 29, 2018","146.25","143.72","146.50","143.28","1.01M","1.94%"
"May 28, 2018","143.47","142.69","143.72","142.47","-","0.57%"
"May 27, 2018","142.66","142.75","142.84","142.62","-","-0.72%"
"May 25, 2018","143.69","142.81","143.94","142.59","556.54K","0.64%"
"May 24, 2018","142.78","142.41","143.19","142.03","614.89K","0.39%"
"May 23, 2018","142.22","141.31","142.53","141.25","538.62K","0.69%"
"May 22, 2018","141.25","141.34","141.56","141.03","274.12K","-0.02%"
"May 21, 2018","141.28","141.03","141.50","140.78","267.68K","0.06%"
"May 18, 2018","141.19","140.44","141.38","140.16","302.14K","0.53%"
"May 17, 2018","140.44","140.94","141.03","140.28","331.59K","-0.35%"
"May 16, 2018","140.94","141.28","141.59","140.81","315.06K","-0.09%"
"May 15, 2018","141.06","142.62","142.72","140.81","430.39K","-1.18%"
"May 14, 2018","142.75","143.09","143.34","142.56","202.31K","-0.26%"
"May 11, 2018","143.12","143.31","143.66","142.91","244.67K","-0.05%"
"May 10, 2018","143.19","142.56","143.38","142.53","331.23K","0.37%"
"May 09, 2018","142.66","143.22","143.28","142.47","245.47K","-0.50%"
"May 08, 2018","143.38","143.47","143.69","142.91","226.34K","-0.13%"
"May 07, 2018","143.56","143.47","143.84","143.34","134.98K","-0.07%"
"May 04, 2018","143.66","143.50","144.25","143.16","244.05K","0.07%"
"May 03, 2018","143.56","143.09","143.94","142.91","278.11K","0.22%"
"May 02, 2018","143.25","143.31","143.56","142.69","295.05K","0.06%"
"May 01, 2018","143.16","143.41","143.62","142.97","252.82K","-0.47%"
"Apr 30, 2018","143.84","143.16","143.88","142.94","284.73K","0.41%"
"Apr 27, 2018","143.25","142.56","143.28","142.50","219.62K","0.61%"
