"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2018","79,918","78,698","79,955","78,632","-","1.31%"
"Sep 26, 2018","78,888","78,760","79,755","78,490","116.13K","0.03%"
"Sep 25, 2018","78,866","77,025","78,995","76,915","98.01K","0.91%"
"Sep 24, 2018","78,151","79,000","79,640","77,960","91.99K","-1.91%"
"Sep 21, 2018","79,669","78,730","80,355","78,550","102.80K","1.66%"
"Sep 20, 2018","78,369","78,300","79,190","78,015","79.07K","0.10%"
"Sep 19, 2018","78,288","77,550","79,305","77,455","112.20K","-0.31%"
"Sep 18, 2018","78,531","77,390","78,785","76,810","109.22K","1.74%"
"Sep 17, 2018","77,185","75,550","77,325","75,115","108.03K","1.93%"
"Sep 14, 2018","75,721","75,080","76,040","74,700","88.10K","1.00%"
"Sep 13, 2018","74,971","75,890","76,005","74,765","82.05K","-0.70%"
"Sep 12, 2018","75,500","75,800","76,025","74,775","97.33K","0.65%"
"Sep 11, 2018","75,010","75,700","75,855","74,590","106.12K","-2.47%"
"Sep 10, 2018","76,912","78,000","78,080","76,425","96.72K","0.08%"
"Sep 06, 2018","76,848","75,270","78,500","75,270","106.30K","1.97%"
"Sep 05, 2018","75,367","74,650","75,795","74,435","76.98K","0.47%"
"Sep 04, 2018","75,017","76,200","76,485","74,925","86.24K","-1.99%"
"Sep 03, 2018","76,539","77,105","77,145","76,065","51.10K","-0.85%"
"Aug 31, 2018","77,196","76,820","77,655","76,350","86.14K","0.52%"
"Aug 30, 2018","76,798","78,700","78,805","76,610","103.61K","-2.75%"
"Aug 29, 2018","78,969","77,940","79,365","77,815","81.24K","1.18%"
"Aug 28, 2018","78,049","78,295","78,565","77,585","77.40K","-0.43%"
"Aug 27, 2018","78,385","77,305","78,585","77,050","62.05K","2.04%"
"Aug 24, 2018","76,820","76,850","77,255","76,195","60.54K","0.91%"
"Aug 23, 2018","76,131","77,335","77,810","75,955","102.63K","-1.66%"
"Aug 22, 2018","77,418","75,670","77,700","74,850","114.83K","2.27%"
"Aug 21, 2018","75,698","77,250","77,290","75,330","99.44K","-1.65%"
"Aug 20, 2018","76,969","76,860","77,150","76,130","81.88K","0.45%"
"Aug 17, 2018","76,626","77,035","77,035","76,210","85.92K","-1.03%"
"Aug 16, 2018","77,420","77,950","78,380","77,000","82.82K","0.18%"
"Aug 15, 2018","77,283","77,885","77,885","76,835","20.88K","-1.75%"
"Aug 14, 2018","78,656","78,140","78,765","77,610","83.66K","1.47%"
"Aug 13, 2018","77,513","76,100","77,910","75,400","111.82K","1.42%"
"Aug 10, 2018","76,427","77,990","78,340","76,015","127.86K","-2.97%"
"Aug 09, 2018","78,766","79,060","79,470","78,110","83.43K","-0.49%"
"Aug 08, 2018","79,152","80,550","80,985","78,810","85.03K","-1.41%"
"Aug 07, 2018","80,288","81,660","81,885","79,945","100.47K","-1.05%"
"Aug 06, 2018","81,140","81,675","82,095","80,985","59.84K","-0.62%"
"Aug 03, 2018","81,644","80,500","81,935","80,260","104.08K","2.38%"
"Aug 02, 2018","79,744","78,700","80,080","78,540","61.91K","0.44%"
"Aug 01, 2018","79,397","79,170","79,890","78,870","66.88K","0.12%"
"Jul 31, 2018","79,300","80,300","80,425","79,130","73.22K","-1.43%"
"Jul 30, 2018","80,452","80,200","80,690","79,850","51.87K","0.48%"
"Jul 27, 2018","80,067","80,190","80,490","79,610","62.09K","0.59%"
"Jul 26, 2018","79,595","80,485","80,675","79,225","80.60K","-1.07%"
"Jul 25, 2018","80,454","79,315","80,710","79,155","77.05K","1.23%"
"Jul 24, 2018","79,474","79,050","79,785","78,960","81.63K","1.65%"
"Jul 23, 2018","78,182","78,635","78,865","78,020","50.03K","-0.83%"
"Jul 20, 2018","78,835","79,425","80,335","78,500","115.87K","1.38%"
"Jul 19, 2018","77,759","77,295","78,950","76,100","115.71K","0.27%"
"Jul 18, 2018","77,553","78,380","78,760","77,340","71.04K","-1.19%"
"Jul 17, 2018","78,487","77,060","78,890","76,760","78.74K","1.85%"
"Jul 16, 2018","77,058","76,795","77,270","76,370","67.60K","0.04%"
"Jul 13, 2018","77,028","76,335","77,200","75,810","73.65K","1.11%"
"Jul 12, 2018","76,184","75,205","76,500","75,055","69.66K","2.05%"
"Jul 11, 2018","74,657","74,280","75,450","74,215","69.66K","-0.84%"
"Jul 10, 2018","75,289","75,730","76,190","74,515","57.38K","-0.33%"
