"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 26, 2018","5,269.030","5,242.620","5,375.340","5,242.620","-","1.74%"
"Sep 25, 2018","5,178.940","5,136.980","5,254.000","5,066.520","-","-0.95%"
"Sep 24, 2018","5,228.570","5,323.120","5,337.250","5,172.070","-","-1.16%"
"Sep 21, 2018","5,289.730","5,214.040","5,383.630","5,214.040","-","2.40%"
"Sep 20, 2018","5,165.740","5,190.230","5,240.630","5,147.460","-","0.43%"
"Sep 19, 2018","5,143.470","5,130.950","5,227.530","5,088.880","-","-0.09%"
"Sep 18, 2018","5,148.180","5,072.790","5,170.950","5,067.090","-","2.04%"
"Sep 17, 2018","5,045.340","4,925.320","5,087.220","4,915.320","-","2.50%"
"Sep 14, 2018","4,922.270","4,849.000","4,966.580","4,849.000","-","0.79%"
"Sep 13, 2018","4,883.620","4,953.960","4,959.520","4,844.230","-","-1.50%"
"Sep 12, 2018","4,958.190","4,947.460","5,006.790","4,917.490","-","1.53%"
"Sep 11, 2018","4,883.600","5,008.920","5,008.930","4,870.410","-","-4.09%"
"Sep 10, 2018","5,091.810","5,105.520","5,165.100","5,049.060","-","-0.88%"
"Sep 07, 2018","5,137.150","5,137.150","5,137.150","5,137.150","-","2.42%"
"Sep 06, 2018","5,015.660","4,961.500","5,110.840","4,927.900","-","1.78%"
"Sep 05, 2018","4,927.710","4,879.580","4,992.660","4,857.710","-","0.42%"
"Sep 04, 2018","4,907.020","4,969.490","4,978.650","4,885.470","-","-2.24%"
"Sep 03, 2018","5,019.330","5,048.270","5,048.920","4,982.390","-","-0.80%"
"Aug 31, 2018","5,059.610","4,998.050","5,155.840","4,998.050","-","1.86%"
"Aug 30, 2018","4,967.240","5,128.550","5,128.550","4,957.140","-","-3.76%"
"Aug 29, 2018","5,161.300","5,102.340","5,195.530","5,088.840","-","1.23%"
"Aug 28, 2018","5,098.740","5,171.750","5,171.750","5,063.590","-","-2.28%"
"Aug 27, 2018","5,217.500","5,071.880","5,217.500","5,069.210","-","2.75%"
"Aug 24, 2018","5,078.070","5,029.680","5,107.780","4,986.240","-","0.58%"
"Aug 23, 2018","5,049.000","5,160.220","5,164.170","4,979.530","-","-1.30%"
"Aug 22, 2018","5,115.710","5,028.920","5,154.550","4,988.320","-","-0.06%"
"Aug 21, 2018","5,118.980","5,197.380","5,209.860","5,049.900","-","-2.52%"
"Aug 20, 2018","5,251.430","5,235.920","5,251.430","5,191.260","-","0.32%"
"Aug 17, 2018","5,234.780","5,288.400","5,288.400","5,204.660","-","-2.45%"
"Aug 16, 2018","5,366.080","5,380.460","5,427.510","5,286.130","-","0.91%"
"Aug 15, 2018","5,317.670","5,443.070","5,443.070","5,302.730","-","-3.04%"
"Aug 14, 2018","5,484.330","5,415.080","5,507.190","5,403.450","-","1.69%"
"Aug 13, 2018","5,393.000","5,324.740","5,393.970","5,263.500","-","0.07%"
"Aug 10, 2018","5,389.100","5,540.610","5,541.730","5,335.440","-","-3.81%"
"Aug 09, 2018","5,602.450","5,650.560","5,668.730","5,553.230","-","-1.90%"
"Aug 08, 2018","5,710.860","5,761.660","5,829.540","5,665.770","-","-2.38%"
"Aug 07, 2018","5,850.240","5,901.350","5,944.030","5,740.620","-","-0.33%"
"Aug 06, 2018","5,869.340","5,910.780","5,930.490","5,856.610","-","-0.86%"
"Aug 03, 2018","5,920.400","5,770.480","5,948.700","5,769.390","-","3.51%"
"Aug 02, 2018","5,719.590","5,673.450","5,746.450","5,626.840","-","-0.11%"
"Aug 01, 2018","5,725.860","5,694.540","5,758.450","5,669.200","-","0.46%"
"Jul 31, 2018","5,699.800","5,782.450","5,782.450","5,679.360","-","-1.99%"
"Jul 30, 2018","5,815.550","5,806.740","5,854.340","5,773.490","-","0.16%"
"Jul 27, 2018","5,806.240","5,747.840","5,831.580","5,747.840","-","1.00%"
"Jul 26, 2018","5,749.030","5,836.880","5,851.390","5,702.720","-","-1.77%"
"Jul 25, 2018","5,852.900","5,753.990","5,876.290","5,753.990","-","2.20%"
"Jul 24, 2018","5,727.060","5,601.260","5,753.360","5,598.760","-","2.88%"
"Jul 23, 2018","5,566.860","5,619.080","5,620.970","5,552.540","-","-1.01%"
"Jul 20, 2018","5,623.910","5,565.380","5,681.790","5,559.240","-","3.99%"
"Jul 19, 2018","5,407.990","5,383.680","5,463.390","5,280.310","-","-0.61%"
